Age,Monthly_Income,Credit_Score,Loan_Amount_Requested,Employment_Status,Existing_Debts,Number_of_Previous_Loans,Payment_History,Debt_to_Income_Ratio,Repayment_Status
54,6577,483,5350,Employed,14468,4,Fair,0.56,0
68,14747,704,35055,Employed,6315,5,Excellent,0.42,1
24,7111,430,44686,Employed,1553,1,Good,0.56,0
38,9589,778,17036,Employed,2810,2,Poor,0.61,0
26,4392,307,29700,Employed,14776,8,Excellent,0.16,0
56,7077,617,7610,Employed,11224,3,Fair,0.25,0
35,19443,690,43018,Employed,111,5,Excellent,0.44,1
21,8183,818,30420,Employed,4072,2,Good,0.24,1
42,3007,435,26177,Employed,1063,2,Fair,0.66,0
31,17835,830,28850,Employed,4197,8,Poor,0.18,1
67,3563,666,40651,Employed,1392,8,Good,0.28,1
26,3500,788,12170,Employed,1197,2,Fair,0.7,0
43,17066,310,41812,Unemployed,12089,2,Excellent,0.17,1
70,2794,745,42070,Employed,340,5,Good,0.34,1
19,16596,413,28147,Self-Employed,5015,0,Good,0.25,1
37,5565,495,36502,Employed,14235,4,Good,0.58,0
45,15590,622,26406,Employed,2861,8,Good,0.25,1
64,19487,811,2066,Employed,12483,8,Poor,0.15,1
24,19206,464,5970,Unemployed,13895,7,Excellent,0.66,1
61,18982,551,24350,Self-Employed,9397,5,Excellent,0.26,1
25,10818,343,30235,Employed,14112,8,Poor,0.53,0
64,9988,769,41562,Unemployed,13424,2,Good,0.24,1
52,12741,788,5114,Employed,8019,8,Good,0.17,1
31,11917,480,29154,Employed,5794,7,Excellent,0.57,1
34,17074,376,46602,Employed,9766,0,Excellent,0.09,1
53,16802,673,39906,Employed,3306,8,Excellent,0.27,1
67,16150,366,29890,Employed,12792,7,Excellent,0.56,1
57,14850,824,22245,Employed,14254,7,Good,0.38,1
21,3596,391,44038,Unemployed,6362,5,Fair,0.5,0
19,13301,543,44266,Self-Employed,9732,8,Fair,0.09,1
23,18059,640,25226,Self-Employed,14064,7,Excellent,0.54,1
71,8669,603,37183,Employed,6308,1,Good,0.16,1
59,14788,697,13595,Employed,3584,5,Good,0.58,1
21,12194,747,28718,Employed,12245,7,Excellent,0.42,1
71,13691,396,40218,Employed,6524,5,Fair,0.53,0
46,19551,630,26143,Student,5303,8,Good,0.19,1
35,12237,504,47178,Employed,1926,4,Poor,0.31,0
43,19707,748,7164,Employed,14704,7,Excellent,0.57,1
61,6647,717,33640,Employed,3519,9,Excellent,0.64,1
51,19240,376,8787,Student,14343,1,Good,0.2,1
27,7699,848,16924,Employed,7787,4,Excellent,0.57,1
53,2046,724,46286,Self-Employed,9597,0,Good,0.12,1
31,6731,728,21449,Employed,7549,4,Poor,0.33,0
48,9465,784,1081,Employed,2013,6,Excellent,0.66,1
65,19967,434,4005,Self-Employed,447,0,Excellent,0.66,1
32,3540,553,9408,Employed,1720,9,Excellent,0.24,1
25,3252,554,1334,Employed,12059,2,Good,0.18,1
31,3349,798,12103,Employed,13465,5,Good,0.15,1
40,4142,783,42712,Employed,4093,0,Fair,0.36,0
74,3100,345,45721,Employed,33,2,Fair,0.11,0
57,15451,742,26169,Employed,496,7,Good,0.28,1
38,13297,303,31494,Self-Employed,11103,8,Good,0.06,1
33,18502,300,44711,Employed,14357,6,Fair,0.22,0
62,2632,589,24452,Employed,1403,3,Good,0.64,0
35,6991,408,27254,Employed,3219,6,Excellent,0.34,1
64,7295,759,4897,Employed,8077,6,Excellent,0.1,1
70,12031,565,5648,Employed,2710,6,Excellent,0.47,1
41,12431,437,10674,Unemployed,9794,7,Good,0.67,1
43,9133,733,18166,Self-Employed,14226,3,Good,0.35,1
42,19371,343,27710,Employed,12877,3,Excellent,0.46,1
62,6509,809,20970,Employed,5670,8,Fair,0.65,1
58,3613,561,4794,Employed,12964,7,Good,0.32,1
46,2544,451,30184,Employed,5218,3,Excellent,0.48,1
32,15423,512,26559,Unemployed,11904,5,Fair,0.34,0
62,3931,533,16344,Employed,14330,8,Good,0.68,1
18,15426,660,46642,Unemployed,3602,5,Excellent,0.38,1
42,3082,619,39365,Employed,14606,4,Poor,0.63,0
24,15874,521,32217,Employed,6104,6,Excellent,0.38,1
26,2808,509,40818,Employed,4096,1,Fair,0.48,0
41,10293,695,6051,Employed,2334,7,Poor,0.3,0
18,3120,788,18126,Self-Employed,6116,6,Fair,0.65,0
61,6266,763,5544,Employed,13226,5,Good,0.47,1
25,6692,751,13875,Employed,1279,2,Poor,0.06,0
41,8122,712,5355,Employed,3245,8,Excellent,0.06,1
28,7593,775,20992,Self-Employed,4949,1,Excellent,0.49,1
68,17984,555,42053,Unemployed,49,3,Good,0.12,1
34,1737,449,47076,Employed,5651,1,Fair,0.52,0
25,12610,426,32074,Self-Employed,10856,5,Good,0.26,1
52,7573,691,3516,Employed,14525,6,Poor,0.4,0
52,4042,779,23622,Self-Employed,9966,8,Excellent,0.16,1
50,16782,696,46923,Unemployed,7210,5,Fair,0.21,1
22,11695,701,49171,Employed,3588,5,Poor,0.33,0
59,3037,573,2479,Employed,4046,4,Good,0.48,1
56,18638,438,18338,Student,65,9,Poor,0.15,0
58,13060,402,28007,Employed,6539,9,Excellent,0.23,1
45,14934,541,41982,Unemployed,5370,3,Poor,0.18,0
24,8896,416,46078,Employed,4223,9,Poor,0.61,0
26,18424,513,22836,Employed,10936,3,Excellent,0.47,1
25,6631,783,30246,Unemployed,187,3,Good,0.35,1
29,10197,828,3547,Employed,5302,4,Good,0.67,1
51,19013,523,38691,Employed,13894,0,Excellent,0.53,1
50,11771,569,29130,Employed,12865,1,Excellent,0.66,1
65,4645,433,49975,Employed,12231,2,Excellent,0.44,0
72,14600,413,1459,Employed,2888,6,Good,0.14,1
40,5567,740,3236,Self-Employed,4857,0,Good,0.49,1
41,5695,664,21830,Unemployed,666,2,Poor,0.18,0
54,10744,531,1580,Employed,7579,6,Good,0.27,1
52,8781,757,15439,Self-Employed,9124,5,Good,0.38,1
61,4009,674,5715,Self-Employed,14414,1,Excellent,0.15,1
57,17002,506,27107,Self-Employed,5138,3,Good,0.06,1
39,8033,819,26944,Self-Employed,10162,0,Poor,0.26,1
44,18565,767,32764,Employed,3852,4,Good,0.59,1
52,16170,742,44394,Employed,4140,1,Good,0.06,1
18,5432,620,28567,Employed,13533,7,Good,0.12,0
52,16095,392,39665,Self-Employed,10368,9,Good,0.57,1
54,14541,707,33425,Employed,617,5,Good,0.25,1
64,7060,457,42432,Employed,13050,0,Excellent,0.66,0
31,5516,398,18242,Employed,13944,1,Good,0.3,0
20,2219,524,44949,Student,792,3,Good,0.57,1
18,1574,740,19824,Self-Employed,9442,2,Poor,0.22,0
22,14661,700,12898,Employed,12185,8,Good,0.09,1
43,3649,363,35480,Self-Employed,2444,0,Excellent,0.62,0
72,15533,578,41123,Unemployed,10514,6,Excellent,0.65,1
31,5707,818,44353,Employed,4233,8,Poor,0.51,0
56,16543,547,18759,Employed,1350,8,Poor,0.55,0
44,10578,667,24068,Employed,11022,5,Excellent,0.05,1
26,13225,397,4669,Employed,14550,6,Poor,0.54,0
32,5436,567,15382,Unemployed,2275,7,Poor,0.36,0
32,10807,359,16436,Self-Employed,6250,2,Good,0.34,0
43,18959,799,19774,Self-Employed,2206,4,Fair,0.4,1
59,6115,607,37030,Employed,1917,3,Good,0.23,0
30,8765,792,5638,Student,13447,8,Good,0.5,1
68,11616,710,3866,Employed,12026,8,Excellent,0.24,1
49,17233,439,10251,Employed,10269,3,Good,0.41,1
56,15392,627,9948,Employed,9313,1,Poor,0.14,0
66,6152,763,23878,Self-Employed,608,0,Fair,0.49,1
69,11973,462,1187,Self-Employed,8960,2,Good,0.17,1
49,10747,359,33270,Employed,783,1,Good,0.16,1
21,18425,330,44341,Employed,11121,4,Good,0.07,1
47,3661,632,21962,Employed,7066,5,Good,0.13,1
54,16088,375,30911,Employed,2389,8,Fair,0.2,0
40,13561,616,20098,Employed,167,3,Good,0.19,1
56,7541,716,8408,Employed,4779,3,Excellent,0.26,1
62,14173,489,17679,Self-Employed,6775,3,Excellent,0.09,1
32,3060,788,4533,Self-Employed,3256,0,Good,0.66,1
60,13454,614,5140,Employed,2479,2,Good,0.13,1
46,19048,595,37810,Employed,7591,3,Good,0.51,1
53,16578,800,27618,Unemployed,12326,0,Good,0.4,1
30,6919,476,21654,Employed,9171,4,Fair,0.41,0
49,4222,514,31775,Employed,10626,9,Good,0.12,1
24,12050,631,41501,Employed,12214,8,Poor,0.21,0
68,18354,427,15676,Employed,2816,0,Excellent,0.56,1
39,2968,568,7005,Employed,8982,6,Poor,0.35,0
45,2308,834,6870,Employed,13029,1,Excellent,0.35,1
19,8219,665,4904,Employed,1474,9,Good,0.4,1
59,17863,647,49235,Employed,8125,8,Good,0.33,1
62,12091,441,12973,Employed,11378,3,Good,0.57,0
74,6573,444,47976,Self-Employed,4001,2,Poor,0.54,0
70,9512,544,3261,Self-Employed,10640,6,Excellent,0.26,1
23,19529,741,46813,Employed,7471,5,Good,0.58,1
45,15392,589,18804,Employed,11866,9,Fair,0.39,1
45,9749,411,24077,Employed,11572,7,Excellent,0.46,1
61,19013,513,48276,Employed,7740,8,Poor,0.61,0
61,16647,499,25680,Self-Employed,9318,6,Good,0.36,1
37,19237,704,17862,Employed,9942,5,Poor,0.54,0
47,2267,720,22902,Employed,12389,7,Good,0.46,0
28,5395,306,40345,Employed,6026,8,Good,0.33,0
72,11700,824,40553,Employed,4750,7,Good,0.56,1
45,8829,585,9884,Employed,11353,5,Fair,0.12,0
42,16832,688,4038,Unemployed,11381,7,Excellent,0.43,1
56,16121,715,33961,Employed,7306,8,Good,0.08,1
50,12834,449,32562,Employed,13614,5,Excellent,0.15,1
18,19674,727,27065,Unemployed,8943,5,Good,0.44,1
74,2385,592,33084,Employed,13828,1,Excellent,0.25,1
44,9234,633,12801,Employed,1232,8,Poor,0.22,0
74,5406,571,21957,Unemployed,14422,7,Good,0.67,1
69,5992,342,3580,Employed,6081,4,Good,0.29,0
30,11230,767,27544,Unemployed,9050,9,Fair,0.42,1
58,3573,618,46647,Employed,4414,2,Fair,0.4,0
20,18196,791,46013,Student,3860,8,Excellent,0.09,1
56,7769,826,33454,Self-Employed,13254,9,Good,0.49,1
23,18694,471,47401,Employed,4728,6,Poor,0.38,0
25,8341,620,12277,Unemployed,12133,8,Excellent,0.3,1
44,12455,343,41391,Employed,13401,6,Good,0.09,1
26,3532,831,33988,Employed,7645,7,Good,0.24,1
54,11199,753,1875,Employed,2699,9,Good,0.62,1
50,14237,382,12654,Self-Employed,7279,4,Poor,0.16,0
68,12262,842,2196,Self-Employed,8074,9,Good,0.19,1
59,8629,621,42184,Self-Employed,5045,9,Excellent,0.18,1
61,10288,533,24398,Self-Employed,2000,5,Poor,0.63,0
41,3647,839,15370,Self-Employed,13705,7,Fair,0.5,1
32,2115,551,29517,Employed,6006,6,Good,0.62,0
71,2447,748,29859,Unemployed,239,0,Excellent,0.64,1
49,7177,538,2247,Self-Employed,7439,9,Poor,0.65,0
49,9366,789,25564,Self-Employed,2190,3,Excellent,0.37,1
41,3513,763,47018,Student,14030,7,Good,0.36,1
58,18374,613,8111,Employed,4214,8,Excellent,0.59,1
69,6487,474,21973,Employed,4691,5,Poor,0.27,0
66,10233,479,35654,Self-Employed,2015,3,Fair,0.06,1
66,10979,684,1310,Employed,5370,1,Good,0.27,1
69,11325,594,11760,Employed,162,8,Fair,0.52,1
29,4426,514,18988,Unemployed,4749,0,Poor,0.13,0
56,8782,374,23043,Employed,8541,4,Poor,0.56,0
19,17135,643,25944,Unemployed,30,7,Fair,0.58,1
20,17347,441,37314,Student,6601,3,Fair,0.12,0
66,10990,498,39119,Employed,8005,0,Good,0.11,1
54,8486,470,25401,Self-Employed,10330,3,Good,0.18,0
66,8362,705,18381,Employed,2175,4,Fair,0.28,1
73,13659,527,34264,Self-Employed,2826,4,Fair,0.4,0
34,5923,710,23069,Employed,3619,0,Poor,0.37,0
66,11950,361,43964,Unemployed,5065,1,Excellent,0.6,1
19,9659,626,2198,Employed,847,5,Good,0.14,1
19,3573,432,44305,Employed,791,9,Good,0.5,0
45,18585,488,6910,Self-Employed,7892,4,Fair,0.41,0
71,11611,655,6484,Employed,508,8,Excellent,0.53,1
40,8325,370,47165,Self-Employed,7079,6,Fair,0.27,0
54,12152,562,1576,Student,13032,4,Good,0.36,1
49,13954,605,33821,Employed,13027,8,Good,0.07,1
50,9468,523,49757,Self-Employed,14192,0,Good,0.13,1
18,14016,627,45392,Employed,7977,2,Good,0.29,1
36,15790,373,49603,Employed,14326,1,Fair,0.36,1
19,9276,810,33996,Employed,4332,6,Poor,0.11,1
70,10058,441,26354,Employed,14294,8,Good,0.59,0
61,10219,401,49958,Employed,13844,1,Fair,0.66,0
43,6386,364,31229,Employed,7775,5,Good,0.44,1
49,6119,492,13022,Employed,9204,1,Fair,0.08,0
23,15456,361,1984,Employed,3024,2,Good,0.53,0
49,11845,831,13660,Self-Employed,3070,0,Good,0.19,1
72,8375,540,26044,Employed,1074,5,Fair,0.53,0
21,11600,709,19851,Employed,5968,1,Good,0.33,1
72,9356,599,43809,Employed,14134,2,Excellent,0.08,1
28,6901,494,34299,Employed,468,5,Poor,0.23,0
73,4522,753,14711,Student,1915,5,Good,0.33,1
34,13175,600,12227,Unemployed,4483,3,Good,0.53,1
55,12412,755,9028,Employed,7229,0,Good,0.14,1
41,7238,501,17945,Employed,13654,6,Fair,0.24,0
22,16626,601,33857,Unemployed,7320,1,Excellent,0.1,1
69,3270,636,39503,Unemployed,735,5,Excellent,0.45,1
51,13805,331,26982,Employed,8133,6,Good,0.36,1
23,11469,397,36913,Self-Employed,12941,1,Good,0.65,0
39,13904,490,2292,Employed,14376,5,Excellent,0.53,1
28,10489,840,24880,Employed,13797,0,Good,0.56,1
65,4715,347,33538,Employed,8169,5,Excellent,0.16,1
33,13480,549,8559,Student,5048,7,Fair,0.22,1
50,8194,525,37549,Self-Employed,5821,7,Fair,0.38,0
26,18636,571,36159,Employed,11048,6,Excellent,0.06,1
23,12161,784,22539,Employed,5676,3,Excellent,0.62,1
33,2892,627,14204,Employed,4477,3,Fair,0.56,0
46,8289,479,3252,Employed,95,4,Fair,0.09,0
20,15885,322,37659,Employed,9103,7,Fair,0.6,0
37,18561,669,10866,Employed,13074,3,Good,0.05,1
53,1605,544,38997,Employed,4388,8,Poor,0.12,0
36,12979,459,25800,Employed,11498,2,Fair,0.09,0
43,3446,672,8553,Employed,4436,8,Excellent,0.36,1
20,7044,584,33831,Employed,8910,1,Good,0.56,1
36,18979,820,2787,Employed,11196,5,Good,0.17,1
37,14775,749,45810,Employed,6681,4,Excellent,0.55,1
49,8485,435,41837,Employed,9565,4,Poor,0.17,0
24,3282,395,12726,Employed,7015,5,Fair,0.69,0
69,7713,418,4915,Employed,7374,9,Excellent,0.6,1
58,15985,673,48423,Unemployed,5055,6,Poor,0.53,0
50,17105,573,46412,Employed,7658,3,Good,0.43,1
57,6369,476,1092,Employed,10620,3,Good,0.21,1
56,19445,576,11934,Employed,7002,8,Fair,0.13,1
35,11367,437,30995,Employed,14934,3,Good,0.35,1
57,5481,431,33469,Employed,6010,7,Good,0.31,0
18,10993,343,2677,Self-Employed,3681,9,Excellent,0.49,0
28,7182,422,29242,Unemployed,7190,0,Good,0.16,0
45,7282,435,22892,Self-Employed,2809,3,Good,0.42,0
74,18827,666,23114,Employed,14699,1,Good,0.5,1
42,10637,672,37632,Employed,11411,9,Good,0.24,1
67,18484,425,28057,Self-Employed,10805,4,Good,0.56,0
40,14512,738,45916,Employed,13256,1,Good,0.33,1
48,3024,350,45031,Student,6035,6,Good,0.16,0
47,18134,436,48881,Employed,6126,9,Excellent,0.18,1
59,1578,457,38355,Self-Employed,13862,6,Excellent,0.23,1
52,4623,355,32532,Employed,8696,8,Good,0.15,0
24,8564,727,11169,Employed,14157,3,Excellent,0.42,1
33,14568,742,35566,Employed,6128,4,Excellent,0.67,1
43,9917,625,47550,Employed,10457,2,Excellent,0.63,1
65,14862,379,31740,Student,5978,6,Excellent,0.26,1
74,2709,773,47176,Employed,14817,4,Good,0.61,1
69,6653,676,11030,Employed,4060,8,Good,0.67,1
66,6398,632,11752,Unemployed,2984,6,Excellent,0.24,1
19,12371,474,8051,Employed,2796,3,Excellent,0.64,1
18,9110,740,43623,Employed,5444,6,Excellent,0.7,1
65,12577,425,11589,Self-Employed,4931,0,Good,0.57,1
29,17291,518,12395,Self-Employed,3926,1,Fair,0.3,0
22,4044,577,13833,Student,7956,2,Excellent,0.45,1
54,7022,784,1598,Self-Employed,3808,4,Good,0.29,1
49,3870,440,15367,Self-Employed,8680,4,Excellent,0.7,0
72,6210,409,19428,Unemployed,13719,6,Excellent,0.09,1
26,1828,351,17642,Employed,7311,8,Good,0.63,0
58,15183,618,21955,Employed,6943,9,Good,0.1,1
52,7079,498,41771,Self-Employed,10450,8,Excellent,0.08,1
36,14622,345,11097,Employed,2713,5,Excellent,0.66,1
65,8294,804,14207,Employed,12546,6,Excellent,0.61,1
33,1620,839,23560,Self-Employed,9442,7,Fair,0.29,0
20,8249,813,24426,Student,6118,3,Good,0.67,1
37,15263,316,45592,Employed,5713,6,Excellent,0.61,0
41,18848,614,1797,Employed,12152,5,Fair,0.64,1
71,16950,735,44463,Employed,14707,7,Excellent,0.44,1
73,5175,687,6713,Employed,1414,0,Excellent,0.67,1
50,19960,376,41079,Employed,9183,4,Excellent,0.58,1
41,7143,670,21404,Employed,6231,2,Excellent,0.66,1
69,13060,464,6911,Employed,8591,8,Excellent,0.23,1
28,19200,323,4954,Employed,12596,8,Poor,0.4,0
66,19080,334,43587,Unemployed,4055,2,Fair,0.61,0
25,16883,813,5312,Self-Employed,4099,9,Good,0.43,1
53,4670,760,31875,Employed,5292,1,Good,0.57,1
55,1855,437,42748,Employed,9759,4,Good,0.68,0
57,11218,564,19440,Employed,3817,3,Good,0.57,1
37,1528,632,16828,Student,10465,6,Fair,0.25,0
52,16331,487,31898,Employed,6482,7,Good,0.13,1
65,18897,362,47720,Unemployed,5325,3,Excellent,0.23,1
42,12394,578,40870,Self-Employed,9317,2,Excellent,0.48,1
52,10519,841,46428,Employed,6201,8,Poor,0.06,0
42,14138,470,16427,Employed,5900,7,Excellent,0.17,1
46,16389,802,30641,Unemployed,13461,6,Fair,0.26,1
35,3524,832,23169,Employed,3323,7,Good,0.62,1
63,7339,598,35215,Employed,7646,7,Good,0.08,1
35,15003,500,46419,Employed,2603,9,Excellent,0.08,1
19,11803,434,48880,Employed,11691,7,Good,0.41,0
71,18638,571,2951,Employed,1565,0,Good,0.17,1
52,19122,834,22954,Student,9110,3,Good,0.21,1
33,3406,741,14827,Employed,4619,9,Good,0.17,1
58,8899,386,9965,Self-Employed,12813,6,Good,0.43,1
53,9461,330,34096,Employed,1315,5,Good,0.09,1
50,13531,420,9985,Employed,7367,2,Fair,0.66,0
21,16628,368,33641,Employed,4119,2,Poor,0.13,0
50,17163,795,23897,Student,1654,3,Poor,0.67,0
31,2960,445,46652,Employed,3458,9,Good,0.56,0
38,17182,632,6973,Self-Employed,9805,5,Excellent,0.59,1
65,16693,780,18794,Employed,241,0,Excellent,0.16,1
37,19300,562,8714,Self-Employed,4298,9,Good,0.49,1
73,12545,592,2137,Employed,4332,3,Fair,0.58,1
25,9266,728,38240,Employed,9142,8,Good,0.41,1
24,19312,385,37042,Employed,3069,6,Good,0.41,1
20,5878,315,4273,Employed,8485,5,Fair,0.15,0
34,9029,417,23627,Employed,13398,4,Excellent,0.32,1
50,4571,569,33193,Employed,4305,1,Poor,0.15,0
65,18439,694,16151,Self-Employed,8979,1,Good,0.68,1
29,19447,461,11155,Employed,1632,5,Excellent,0.5,1
68,13192,403,27741,Employed,3073,8,Fair,0.08,0
39,2540,466,23948,Self-Employed,4070,8,Poor,0.36,0
72,4186,599,39130,Employed,2276,0,Fair,0.46,0
39,14166,327,5636,Employed,12697,6,Fair,0.11,1
63,4053,723,39114,Employed,11506,6,Fair,0.48,0
47,3279,455,32649,Unemployed,13250,9,Good,0.17,0
55,14686,623,44706,Employed,9683,1,Good,0.32,1
55,17959,647,37976,Employed,12745,9,Excellent,0.46,1
62,6557,420,38236,Employed,2601,3,Excellent,0.29,1
68,3762,827,3346,Employed,10452,7,Good,0.3,1
71,11808,463,14984,Employed,10023,5,Fair,0.6,0
25,18276,361,2042,Employed,14216,6,Good,0.25,1
44,18992,639,14063,Employed,8577,9,Good,0.48,1
44,6688,611,21490,Employed,13723,5,Poor,0.6,0
51,10302,675,41967,Employed,7682,8,Good,0.15,1
38,6557,645,37499,Employed,527,9,Poor,0.08,0
47,5498,449,43533,Employed,1411,9,Fair,0.59,0
50,10364,476,8302,Employed,11542,8,Good,0.41,1
45,5177,653,22876,Employed,5085,5,Excellent,0.59,1
64,7296,813,17294,Employed,4197,5,Excellent,0.19,1
50,15950,608,3302,Employed,13900,8,Good,0.59,0
22,7863,418,20017,Employed,389,9,Good,0.11,0
65,9623,818,43311,Employed,9417,8,Good,0.62,1
36,9722,777,1361,Self-Employed,3638,2,Fair,0.58,1
21,15154,713,39261,Student,3792,6,Good,0.42,1
52,19284,650,18171,Employed,13703,2,Good,0.45,1
66,5571,805,42226,Employed,840,3,Fair,0.27,0
34,10308,494,30327,Employed,9569,8,Good,0.18,1
61,4286,486,6092,Employed,5712,9,Excellent,0.35,1
45,2370,749,17937,Self-Employed,14067,7,Excellent,0.48,1
47,5696,795,41793,Employed,234,5,Excellent,0.7,1
46,13296,814,14817,Employed,113,5,Fair,0.58,1
63,4239,572,10779,Employed,6079,7,Good,0.33,1
70,2440,351,5516,Employed,3138,1,Good,0.53,0
23,1840,562,40219,Employed,808,4,Good,0.12,1
52,5633,667,31114,Employed,5159,6,Good,0.32,1
58,18543,432,15530,Employed,7900,2,Good,0.33,1
54,11725,524,10310,Employed,10342,7,Fair,0.7,0
41,11252,609,35281,Employed,410,2,Good,0.3,1
46,4957,315,24809,Self-Employed,1318,3,Fair,0.1,0
66,11348,494,47104,Employed,12278,9,Fair,0.09,1
63,10741,742,22735,Employed,5684,9,Excellent,0.5,1
70,1953,602,45363,Employed,4903,5,Good,0.24,1
48,11396,347,7749,Self-Employed,9779,5,Fair,0.61,0
52,12476,420,28637,Employed,9252,1,Fair,0.36,1
50,17372,798,8005,Employed,66,1,Excellent,0.26,1
69,2318,768,30898,Employed,6546,2,Excellent,0.54,1
38,6368,340,24538,Student,13985,2,Good,0.32,0
49,17896,755,38206,Self-Employed,2253,3,Excellent,0.53,1
40,13671,833,46648,Employed,8532,3,Excellent,0.51,1
50,2420,670,22708,Employed,8187,3,Excellent,0.52,1
20,11006,481,46024,Employed,5953,9,Excellent,0.61,1
35,7975,816,43944,Employed,12169,9,Good,0.6,1
42,3517,530,26467,Self-Employed,13363,2,Fair,0.48,0
59,9457,647,15412,Self-Employed,10665,0,Excellent,0.67,1
48,17730,778,30378,Employed,955,8,Good,0.06,1
71,10920,508,48055,Self-Employed,4304,1,Good,0.65,0
20,6292,577,29102,Employed,5633,2,Fair,0.15,0
57,14737,352,14044,Employed,2010,1,Good,0.19,1
63,17751,309,32309,Employed,6819,5,Excellent,0.58,1
41,12207,763,19239,Employed,1888,5,Fair,0.31,1
67,2938,457,3435,Employed,368,0,Fair,0.33,0
49,5043,318,44934,Employed,1762,3,Good,0.22,1
64,12867,354,24164,Employed,993,9,Excellent,0.2,1
39,19665,320,36866,Employed,8273,4,Excellent,0.12,1
40,17020,581,4386,Unemployed,1187,5,Excellent,0.18,1
19,7843,839,6440,Student,376,4,Excellent,0.42,1
44,3763,716,46503,Employed,2,2,Excellent,0.51,1
59,11661,584,43776,Employed,683,2,Excellent,0.53,1
19,1711,831,7436,Self-Employed,11381,2,Good,0.29,1
43,15309,831,8403,Employed,3727,5,Fair,0.65,1
34,8527,810,24242,Employed,763,3,Fair,0.26,1
57,1831,695,44464,Employed,8457,3,Excellent,0.12,1
50,9669,419,3939,Employed,2482,2,Poor,0.66,0
26,10633,396,18222,Employed,10921,3,Fair,0.4,0
60,16091,419,28277,Employed,724,7,Excellent,0.68,1
71,17625,836,22143,Self-Employed,2840,2,Excellent,0.31,1
65,2227,452,4138,Employed,5346,9,Excellent,0.54,1
56,12554,544,21989,Employed,2423,2,Fair,0.12,1
46,4743,815,4162,Employed,5381,5,Excellent,0.61,1
59,18532,692,3752,Employed,10605,0,Excellent,0.16,1
72,6595,442,26765,Self-Employed,13054,9,Good,0.09,0
43,15309,803,46657,Employed,2475,5,Fair,0.11,1
52,12429,519,1837,Self-Employed,5127,8,Good,0.41,1
67,16342,459,29474,Employed,6049,2,Good,0.24,1
42,18893,375,13043,Employed,9256,1,Excellent,0.67,1
41,3050,331,49565,Employed,5997,2,Good,0.6,0
30,10495,633,48154,Employed,7424,2,Good,0.57,1
24,16666,824,36501,Employed,6786,1,Good,0.58,1
74,8992,739,45770,Employed,6707,3,Good,0.63,1
53,14001,651,48369,Student,13413,7,Excellent,0.61,1
